condition,gravity,impact_time,impact_velocity,maximum_speed
earth,9.80665,0.6160000000000004,-6.00166979999997,6.02128309999997
mars,3.71,1.0000000000000007,-3.6951600000000426,3.702580000000043
moon,1.62,1.5140000000000011,-2.446199999999964,2.449439999999964
